label,dtw_مرحبا,dtw_انا,dtw_احمد,dtw_عشري,dtw_من,dtw_فريق,dtw_صوتك,flex8_mean,flex8_var,flex8_energy,flex8_max,flex8_min,flex8_sig_changes,flex8_slope,flex9_mean,flex9_var,flex9_energy,flex9_max,flex9_min,flex9_sig_changes,flex9_slope,flex10_mean,flex10_var,flex10_energy,flex10_max,flex10_min,flex10_sig_changes,flex10_slope,flex11_mean,flex11_var,flex11_energy,flex11_max,flex11_min,flex11_sig_changes,flex11_slope,flex12_mean,flex12_var,flex12_energy,flex12_max,flex12_min,flex12_sig_changes,flex12_slope,flex13_mean,flex13_var,flex13_energy,flex13_max,flex13_min,flex13_sig_changes,flex13_slope,flex14_mean,flex14_var,flex14_energy,flex14_max,flex14_min,flex14_sig_changes,flex14_slope,flex15_mean,flex15_var,flex15_energy,flex15_max,flex15_min,flex15_sig_changes,flex15_slope,pad0_max_z,pad0_corr_r,pad0_1,pad0_3,pad0_4,pad0_5,pad1_max_z,pad1_corr_r,pad1_1,pad1_3,pad1_4,pad1_5,pad2_max_z,pad2_corr_r,pad2_1,pad2_3,pad2_4,pad2_5,pad3_max_z,pad3_corr_r,pad3_1,pad3_3,pad3_4,pad3_5,pad4_max_z,pad4_corr_r,pad4_1,pad4_3,pad4_4,pad4_5,pad5_max_z,pad5_corr_r,pad5_1,pad5_3,pad5_4,pad5_5,pad6_max_z,pad6_corr_r,pad6_1,pad6_3,pad6_4,pad6_5
مرحبا,0.004213915602544305,520.8411851739163,493.77917183563704,693.0255988732958,396.04119577796394,20.126267509408827,901.266681535279,0.0006500000000000004,2.2749999999999994e-07,0.001,0.001,0.0,0,-3.4146341463414627e-05,0.011650000000000006,0.0001407775000000001,0.059,0.059,0.0,0,-0.0008298311444652915,0.007700000075000002,4.891000274500004e-05,0.042000001999999995,0.026000001,0.0,0,-0.00030093808377110686,0.0,0.0,0.0,0.0,0.0,0,0.0,0.008450000000000004,3.84475e-05,0.013,0.013,0.0,0,-0.00044390243902439017,0.008450000000000004,3.84475e-05,0.013,0.013,0.0,0,-0.00044390243902439017,0.0,0.0,0.0,0.0,0.0,0,0.0,0.008450000000000004,3.84475e-05,0.013,0.013,0.0,0,-0.00044390243902439017,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,5.0,1,0,0,0,1,5.0,1,0,0,0,2,0.0,0,0,0,0,0
مرحبا,0.0,520.8391254409239,493.77917183563704,690.4899959420949,396.03913604497154,20.125768588121822,901.266681535279,0.0006500000000000004,2.275000000000001e-07,0.002,0.001,0.0,0,1.2099773545899112e-20,0.011650000000000006,0.00014077749999999984,0.118,0.059,0.0,0,-0.00021782363977485895,0.007700000075000002,4.891000274500005e-05,0.052000002000000003,0.026000001,0.0,0,0.00010356473442776746,0.0,0.0,0.0,0.0,0.0,0,0.0,0.008450000000000004,3.844750000000003e-05,0.026,0.013,0.0,0,1.2984793403512347e-19,0.008450000000000004,3.844750000000003e-05,0.026,0.013,0.0,0,1.2984793403512347e-19,0.0,0.0,0.0,0.0,0.0,0,0.0,0.008450000000000004,3.844750000000003e-05,0.026,0.013,0.0,0,1.2984793403512347e-19,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,5.0,1,0,0,0,1,5.0,1,0,0,0,2,0.0,0,0,0,0,0
مرحبا,51.79681427443298,564.2095540119101,508.5539726459444,680.4634067351681,447.7177617310499,27.470692675234982,938.2146913827395,0.0006500000000000004,2.275e-07,0.001,0.001,0.0,0,3.414634146341465e-05,0.011650000000000006,0.00014077749999999984,0.104,0.059,0.0,0,0.00039418386491557253,0.007700000075000002,4.891000274500005e-05,0.026000001000000002,0.026000001,0.0,0,0.0005080675526266418,0.0,0.0,0.0,0.0,0.0,0,0.0,0.008450000000000004,3.844750000000003e-05,0.013,0.013,0.0,0,0.00044390243902439044,0.008450000000000004,3.844750000000003e-05,0.013,0.013,0.0,0,0.00044390243902439044,0.0,0.0,0.0,0.0,0.0,0,0.0,0.008450000000000004,3.844750000000003e-05,0.013,0.013,0.0,0,0.00044390243902439044,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,5.0,1,0,0,0,1,5.0,1,0,0,0,2,0.0,0,0,0,0,0
انا,520.9800796424581,0.09980293689661643,845.1630559116671,1060.6770020558506,719.0079693305388,586.2844868738129,1114.4193779885888,0.0007000000000000004,2.0999999999999995e-07,0.001,0.001,0.0,0,-3.1519699812382754e-05,0.010275000000000006,5.3949375000000055e-05,0.033,0.033,0.0,0,-0.0005107879924953099,0.22375000417499996,0.021874588296787515,0.432000012,0.347000003,0.0,0,-0.009132082778517825,0.0,0.0,0.0,0.0,0.0,0,0.0,0.61452500225,0.17272454978298757,1.8980000619999995,0.986000001,0.0,1,-0.024559380900938097,0.55992499885,0.1686656179195776,1.899999974,0.986000001,0.0,2,-0.017189962521951208,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6894749927500001,0.20375664507513744,1.005999983,0.986999989,0.0,1,-0.03091210102908067,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,4.0,2,0,0,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
انا,520.8391254409239,0.0,845.1464278985635,1008.4208044703819,718.9603497932796,586.2060861674541,1114.354188141721,0.0007000000000000004,2.1000000000000003e-07,0.002,0.001,0.0,0,7.972920595935547e-21,0.010275000000000006,5.3949374999999967e-05,0.066,0.033,0.0,0,-4.812382739211985e-05,0.22375000417499996,0.021874588296787515,0.73000002,0.347000003,0.0,0,0.000942964313789873,0.0,0.0,0.0,0.0,0.0,0,0.0,0.61452500225,0.17272454978298757,2.7360000619999996,0.986000001,0.0,2,0.0031115385249531067,0.55992499885,0.16866561791957763,2.10399997,0.986000001,0.0,2,0.00802242016547843,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6894749927500001,0.2037566450751374,1.973999978,0.986999989,0.0,2,0.00013367725609758,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,4.0,2,0,0,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
انا,569.0731544673922,147.07816973203575,870.4788822228732,900.8835919879477,796.722799880941,597.6345473028148,1197.410323207959,0.0007000000000000004,2.0999999999999995e-07,0.001,0.001,0.0,0,3.151969981238276e-05,0.010275000000000006,5.394937500000004e-05,0.052000000000000005,0.033,0.0,0,0.0004145403377110697,0.22375000417499996,0.02187458829678752,0.38300001699999997,0.347000003,0.0,0,0.011018011406097566,0.0,0.0,0.0,0.0,0.0,0,0.0,0.61452500225,0.17272454978298768,1.9140000349999995,0.986000001,0.0,1,0.03078245795084429,0.55992499885,0.16866561791957765,1.117999969,0.986000001,0.0,1,0.03323480285290808,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6894749927500001,0.20375664507513727,0.986999989,0.986999989,0.0,1,0.03117945554127581,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,4.0,2,0,0,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
احمد,511.80917168484046,845.1464973577828,6.262823984571561,360.56158493001095,666.3819054777168,516.6613926231687,495.7891062786879,0.48379999517500016,0.13932555720367007,2.0450000040000003,0.949000001,0.0,2,0.01923771083499063,0.047700000425,0.003571660087255006,0.6680000099999999,0.254000008,0.0,0,-0.002923639781894937,0.49455000067500005,0.08374949770725772,1.5930000240000002,0.800000012,0.0,2,0.012674108742120084,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7699499951250002,0.1273940449428626,1.9609999779999998,0.986999989,0.0,2,0.007155534343245799,0.8853749933999999,0.06773013261200009,1.289999963,0.986999989,0.0,1,-0.006734428076735448,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8853749933999999,0.06773013261200009,1.289999963,0.986999989,0.0,1,-0.006734428076735448,5.0,2,0,0,3,2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,5.0,1,0,0,0,1,0.0,0,0,0,0,0
احمد,493.77917183563704,845.1464278985635,0.0,300.8252191322503,666.3819054777168,498.8452164907561,470.7806649489086,0.48379999517500016,0.13932555720367007,2.046000004,0.949000001,0.0,2,0.02286848002954973,0.047700000425,0.003571660087255006,0.8560000039999999,0.254000008,0.0,0,-0.0025656660451219503,0.49455000067500005,0.08374949770725773,1.600000024,0.800000012,0.0,2,0.016385553400093816,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7699499951250002,0.1273940449428626,1.973999978,0.986999989,0.0,2,0.012933770704409023,0.8853749933999999,0.06773013261200007,1.973999978,0.986999989,0.0,2,-8.99628354596428e-05,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8853749933999999,0.06773013261200007,1.973999978,0.986999989,0.0,2,-8.99628354596428e-05,5.0,2,0,0,3,2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,5.0,1,0,0,0,1,0.0,0,0,0,0,0
احمد,497.7995092052267,869.8675439320826,33.89925758010745,274.6352971575659,688.8009237206327,499.4212074221732,517.2036904372773,0.48379999517500016,0.13932555720367004,1.0970000030000002,0.949000001,0.0,1,0.030130018418667928,0.047700000425,0.0035716600872550074,0.8480000039999999,0.254000008,0.0,0,-0.0018497185715759836,0.49455000067500005,0.08374949770725769,0.800000012,0.800000012,0.0,1,0.023808442716041288,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7699499951250002,0.12739404494286236,0.986999989,0.986999989,0.0,1,0.02449024342673548,0.8853749933999999,0.06773013261200014,0.986999989,0.986999989,0.0,1,0.013198967647091947,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8853749933999999,0.06773013261200014,0.986999989,0.986999989,0.0,1,0.013198967647091947,5.0,2,0,0,3,2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,5.0,1,0,0,0,1,0.0,0,0,0,0,0
عشري,571.604337355029,940.4331196885184,236.4051583346653,86.69467504233631,770.6504770687694,576.64229440774,368.69591511560213,0.1456499993,0.027924927013160024,0.9439999699999998,0.514999986,0.008,2,0.01005684802270169,0.05645000022499994,0.009454797581297508,0.8539999880000002,0.437999994,0.008,2,0.00039174483968105225,0.396899998925,0.0729742894797851,0.800000025,0.68599999,0.013,1,0.02183151959784241,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6259999943250001,0.18361529635799995,0.973999989,0.986999989,0.013,1,0.03322607839690433,0.7465749954000003,0.13850549172219,0.973999989,0.986999989,0.013,1,0.02629671622795499,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5612500009749999,0.08521668866406273,2.0769999720000007,0.949999988,0.013,3,0.01834615387457787,5.0,2,0,0,3,2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,5.0,1,0,0,0,1,0.0,0,0,0,0,0
